32405,1014745513,Calvary Gospel Assembly Inc,3364 Wilson Ave,"Bronx, NY",Calvary Gospel Assembly Inc,-73.85038,40.87517,facebook_places,114028008628698
32405,110462665647364,"Cottageville, New Jersey",,,Cottageville,-74.4847,40.4103,facebook_places,110462665647364
32405,954925667,Ireland Brook County Park,155 Church Ln,,Ireland Brook County Park,-74.47633,40.42149,facebook_places,227012300829929
32405,316192783,Ireland Brook County Park,,,Ireland Brook County Park,-74.46069342,40.41979207,facebook_places,110755182313753
32405,918368222,"Patricks Corner, New Jersey",,,Patricks Corner,-74.4769444444,40.4238888889,facebook_places,1606099786290172
32405,103116313398042,Brookview Gardens,851 Franklin Lake Rd,"Franklin Lakes, NJ",Brookview Gardens,-74.226828,40.995016,facebook_places,103116313398042
32405,1025346252,"Brookview, New Jersey",,,Brookview,-74.4744,40.4206,facebook_places,104994346202773
32405,256363414,Crystal Springs Family Aquatic Center,380 Dunhams Corner Rd,"East Brunswick, NJ",Crystal Springs Family Aquatic Center,-74.446005314409,40.4088065948,facebook_places,148356801904759
32405,836402448,Cornerstone Christian School,100 Hardenburg Ln,"East Brunswick, NJ ",Cornerstone Christian School,-74.44549,40.43166,facebook_places,1396661420625192
32405,238114095,Lake Manalapan,,,Lake Manalapan,-74.434717195099,40.345486070082,facebook_places,139091426127554
32405,3258938,Dunkin' Donuts,525 8th Ave,"New York, NY",Dunkin' Donuts,-73.992419,40.753669,facebook_places,104656202971238
32405,5736887,Dunkin Donuts,140 Delancey St,New York,Dunkin Donuts,-73.986675739288,40.718497502082,facebook_places,134870116606565
32405,286020530,Dunkin Donuts,2458 Jericho Tpke,Garden City Park,Dunkin Donuts,-73.657163362986,40.743386818086,facebook_places,234824959894189
32405,250888701,Dunkin Donuts,165 7th St,Garden City,Dunkin Donuts,-73.635161519051,40.725278944298,facebook_places,163047930437177
32405,755764349,John F  Kennedy,28 Front St,"Jamesburg, NJ ",John F  Kennedy,-74.441548322895,40.34865017,facebook_places,294909944041317
32405,727516584,John F Kennedy,1310 Ratzer Rd,"Wayne, NJ ",John F Kennedy,-74.222119955161,40.947696135484,facebook_places,802606749796827
32405,786299917,John F Kennedy,2900 Norwood Ave,"South Plainfield, NJ ",John F Kennedy,-74.3986993575,40.586469186944,facebook_places,159007340936367
